freq,citizen,age,sex,unit,geo,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 ,2024 ,2025 
A,EU27_2020_FOR,Y18-59,M,PC_Y_LT65,FR,: ,3.8 ,5.2 ,7.7 ,11.1 ,10.4 ,6.1 b,11.3 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,M,PC_Y_LT65,HR,: ,: u,: u,: u,: u,: u,: u,: u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,M,PC_Y_LT65,HU,: ,: u,: u,: u,: u,: u,: u,: u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,M,PC_Y_LT65,IE,: ,9.2 ,9.7 ,6.2 ,8.3 ,4.2 ,2.7 b,5.4 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,M,PC_Y_LT65,IS,: ,5.3 ,6.3 ,0.0 ,0.0 ,: ,: ,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,M,PC_Y_LT65,IT,: ,3.1 ,5.1 ,5.0 ,6.5 ,5.8 ,2.3 ,4.2 p,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,M,PC_Y_LT65,LT,: ,: u,: u,: u,: u,: u,: u,: u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,M,PC_Y_LT65,LU,: ,5.4 ,5.4 b,3.9 ,5.3 ,5.4 ,5.1 b,3.9 b,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,M,PC_Y_LT65,LV,: ,: u,: u,: u,: u,: u,: u,0.0 u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,M,PC_Y_LT65,ME,: ,: ,: ,: ,: ,: ,: u,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,M,PC_Y_LT65,MK,: ,: u,: u,: u,: u,: u,: u,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,M,PC_Y_LT65,MT,: ,3.4 u,4.5 u,9.7 u,0.0 u,5.8 ,3.5 u,0.7 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,M,PC_Y_LT65,NL,: ,0.0 u,4.8 b,3.9 ,6.3 ,4.7 ,9.6 ,10.6 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,M,PC_Y_LT65,NO,: ,4.0 ,5.8 ,4.5 ,6.2 ,4.1 ,2.9 ,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,M,PC_Y_LT65,PL,: ,: u,: u,: u,: u,: u,: u,: u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,M,PC_Y_LT65,PT,: ,: u,16.8 u,0.5 u,1.9 u,0.6 u,0.0 u,0.0 bu,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,M,PC_Y_LT65,RO,: ,: u,: u,: ,: u,: u,: ,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,M,PC_Y_LT65,RS,: ,26.1 u,32.5 u,27.3 u,: u,: u,: u,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,M,PC_Y_LT65,SE,: ,11.4 ,7.4 ,5.9 ,9.3 ,4.4 ,3.5 ,6.9 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,M,PC_Y_LT65,SI,: ,1.7 u,0.0 u,0.0 u,0.0 u,1.4 ,0.6 u,4.0 u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,M,PC_Y_LT65,SK,: ,: u,: u,: u,: u,: u,: u,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,M,PC_Y_LT65,TR,: ,: u,: u,: u,: u,: u,: u,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,M,PC_Y_LT65,UK,: ,6.1 ,5.3 ,5.4 bu,4.5 u,: ,: ,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC,AL,: ,: ,: ,: ,: ,: ,: u,: u,6.9 u,0.0 u,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC,AT,: ,7.1 ,5.6 ,5.5 ,6.1 ,7.1 ,8.9 ,9.7 ,5.6 ,6.5 ,6.6 ,13.1 
A,EU27_2020_FOR,Y18-59,T,PC,BE,: ,17.9 ,15.5 ,15.8 ,12.6 ,12.6 b,11.8 ,15.1 ,9.8 ,10.2 ,10.9 ,11.5 
A,EU27_2020_FOR,Y18-59,T,PC,BG,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-59,T,PC,CH,4.5 ,4.3 ,4.2 ,4.4 ,4.2 ,4.4 ,6.2 ,5.2 ,3.9 ,3.2 ,2.8 ,: 
A,EU27_2020_FOR,Y18-59,T,PC,CY,: ,9.3 ,5.2 ,5.8 ,4.1 ,4.6 ,3.4 ,4.7 ,2.3 ,1.4 ,1.0 ,2.3 
A,EU27_2020_FOR,Y18-59,T,PC,CZ,: ,12.7 ,13.5 ,3.9 ,0.7 ,2.3 ,2.7 ,5.5 ,5.8 ,6.6 ,10.3 ,7.3 
A,EU27_2020_FOR,Y18-59,T,PC,DE,: ,7.2 ,6.8 ,6.9 ,7.4 ,5.3 ,4.3 b,7.2 ,7.5 ,6.5 ,6.7 ,8.1 
A,EU27_2020_FOR,Y18-59,T,PC,DK,: ,16.2 ,17.7 ,13.4 ,8.1 ,7.0 ,8.0 ,5.1 ,5.4 ,7.0 ,9.6 ,7.3 
A,EU27_2020_FOR,Y18-59,T,PC,EA,: ,: ,: ,: ,: ,: ,: ,9.0 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC,EA19,: ,8.9 ,8.8 ,8.1 ,7.9 ,6.8 ,6.2 ,9.0 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC,EA20,: ,8.9 ,8.8 ,8.1 ,7.9 ,6.7 ,6.2 ,9.2 ,8.2 ,6.9 ,6.7 ,7.9 
A,EU27_2020_FOR,Y18-59,T,PC,EA21,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,7.9 
A,EU27_2020_FOR,Y18-59,T,PC,EE,: ,7.1 u,2.9 u,8.5 u,15.4 u,7.1 u,2.4 u,1.1 u,6.3 u,6.5 u,0.7 u,0.5 u
A,EU27_2020_FOR,Y18-59,T,PC,EL,: ,23.9 ,24.1 ,22.1 ,15.1 ,15.9 ,17.7 ,17.3 ,12.7 ,9.3 ,6.5 ,3.1 
A,EU27_2020_FOR,Y18-59,T,PC,ES,: ,12.9 ,14.1 ,10.6 ,8.5 ,6.8 ,9.2 ,9.4 ,9.6 ,8.4 ,8.1 ,7.6 
A,EU27_2020_FOR,Y18-59,T,PC,EU27_2020,: ,: ,: ,: ,: ,6.7 u,6.2 u,8.9 u,8.0 ,6.8 ,6.7 ,7.9 
A,EU27_2020_FOR,Y18-59,T,PC,FI,: ,11.2 ,18.0 ,6.9 ,6.3 ,7.9 b,10.0 ,14.5 ,15.9 b,7.9 ,10.7 ,14.6 
A,EU27_2020_FOR,Y18-59,T,PC,FR,: ,7.6 ,8.9 ,9.7 ,8.7 ,9.6 ,5.1 b,13.9 ,10.0 b,8.7 ,3.9 ,5.7 
A,EU27_2020_FOR,Y18-59,T,PC,HR,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-59,T,PC,HU,: ,4.4 u,1.7 u,1.1 u,: u,: u,: u,: u,: u,0.0 u,9.6 u,: u
A,EU27_2020_FOR,Y18-59,T,PC,IE,: ,11.7 ,11.3 ,6.6 ,11.3 ,7.0 b,3.8 b,12.2 ,4.2 ,2.7 ,4.4 ,6.7 
A,EU27_2020_FOR,Y18-59,T,PC,IS,: ,4.6 ,5.2 ,3.1 ,1.4 ,1.0 ,1.1 ,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC,IT,: ,5.2 ,7.4 ,6.2 ,7.3 ,7.2 ,5.6 ,7.6 ,10.1 ,4.6 ,6.8 ,7.6 
A,EU27_2020_FOR,Y18-59,T,PC,LT,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-59,T,PC,LU,: ,4.8 ,5.0 b,4.2 ,5.7 ,5.5 ,5.3 b,4.7 b,3.2 b,3.2 ,2.4 ,4.1 b
A,EU27_2020_FOR,Y18-59,T,PC,LV,: ,: u,: u,5.2 u,: u,3.1 u,2.8 u,0.0 u,: u,4.0 u,9.1 u,2.7 u
A,EU27_2020_FOR,Y18-59,T,PC,ME,: ,: ,: ,: ,: ,: ,: u,: u,: u,: u,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC,MK,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: 
A,EU27_2020_FOR,Y18-59,T,PC,MT,: ,5.7 ,2.3 ,8.7 ,0.0 ,5.0 ,2.1 ,0.8 ,0.0 ,5.2 b,2.1 ,2.1 
A,EU27_2020_FOR,Y18-59,T,PC,NL,: ,10.3 ,8.7 b,9.4 ,5.5 ,5.5 ,8.9 ,8.3 ,5.3 ,8.1 ,7.3 ,3.5 
A,EU27_2020_FOR,Y18-59,T,PC,NO,: ,2.7 ,5.5 ,4.0 ,4.9 ,3.2 ,5.9 ,8.9 b,5.0 ,2.7 ,2.1 ,6.1 
A,EU27_2020_FOR,Y18-59,T,PC,PL,: ,: u,: u,: u,: u,: u,: u,: u,3.8 u,0.0 u,0.0 u,2.8 u
A,EU27_2020_FOR,Y18-59,T,PC,PT,: ,11.1 u,11.4 ,1.3 ,1.4 ,2.8 ,3.9 ,5.3 b,8.7 ,4.6 ,5.8 ,4.8 
A,EU27_2020_FOR,Y18-59,T,PC,RO,: ,: u,: u,: ,: u,: u,: ,: ,: ,: u,: u,: u
A,EU27_2020_FOR,Y18-59,T,PC,RS,: ,24.6 ,24.8 ,23.5 ,18.4 u,15.4 u,32.7 u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-59,T,PC,SE,: ,11.1 ,6.5 ,5.7 ,5.6 ,5.4 ,3.6 ,6.1 ,2.6 ,5.5 ,4.1 ,10.4 
A,EU27_2020_FOR,Y18-59,T,PC,SI,: ,6.3 ,4.3 ,5.7 ,4.6 ,3.6 ,4.8 ,5.9 ,2.7 ,7.8 ,10.3 ,3.9 
A,EU27_2020_FOR,Y18-59,T,PC,SK,: ,: u,: u,: u,: u,: u,: u,: u,0.0 u,0.0 u,: u,0.0 u
A,EU27_2020_FOR,Y18-59,T,PC,TR,: ,8.5 u,2.7 u,: u,: u,: u,: u,: u,: u,: u,15.3 u,: u
A,EU27_2020_FOR,Y18-59,T,PC,UK,: ,8.0 ,5.4 ,5.4 bu,4.3 u,: ,: ,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,AL,: ,: ,: ,: ,: ,: ,: u,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,AT,: ,7.1 ,5.6 ,5.5 ,6.1 ,7.1 ,8.9 ,9.8 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,BE,: ,17.9 ,15.5 ,15.8 ,12.6 ,12.5 b,11.8 ,14.6 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,BG,: ,: u,: u,: u,: u,: u,: u,: u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,CH,: ,4.3 ,4.2 ,4.4 ,4.2 ,4.4 ,6.2 ,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,CY,: ,9.3 ,5.2 ,5.8 ,4.1 ,5.8 ,3.4 ,5.4 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,CZ,: ,12.7 ,13.5 ,3.9 ,0.7 ,2.3 ,2.7 ,5.5 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,DE,: ,7.2 ,6.8 ,6.9 ,7.4 ,5.3 ,4.3 b,6.9 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,DK,: ,16.2 ,17.7 ,13.4 ,8.1 ,7.0 ,8.0 ,5.1 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,EA,: ,: ,: ,: ,: ,6.8 e,6.2 ,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,EA18,: ,: ,: ,: ,: ,6.8 e,6.3 ,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,EA19,: ,8.9 e,8.8 e,8.1 e,7.9 e,6.8 e,6.2 ,9.0 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,EE,: ,7.1 u,2.9 u,8.5 u,15.4 u,7.1 u,2.4 u,1.1 u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,EL,: ,23.9 ,24.1 ,22.1 ,15.1 ,15.9 ,17.7 ,17.3 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,ES,: ,12.9 ,14.1 ,10.6 ,8.5 ,6.8 ,9.2 ,9.4 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,EU,: ,: ,: ,: ,: ,6.2 e,: ,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,EU27_2007,: ,: ,: ,: ,: ,6.2 e,: ,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,EU27_2020,: ,9.0 u,8.9 u,8.0 e,7.7 u,6.7 u,6.2 u,8.8 u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,EU28,: ,: ,: ,: ,: ,6.2 e,: ,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,FI,: ,11.2 ,18.0 ,6.9 ,6.3 ,7.9 ,9.9 ,14.5 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,FR,: ,7.6 ,8.9 ,9.7 ,8.7 ,9.6 ,5.1 b,13.9 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,HR,: ,: u,: u,: u,: u,: u,: u,: u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,HU,: ,4.4 u,1.7 u,1.1 u,: u,: u,: u,: u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,IE,: ,11.7 ,11.3 ,6.6 ,11.3 ,7.0 ,4.0 b,12.1 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,IS,: ,4.6 ,5.2 ,3.1 ,1.4 ,: ,: ,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,IT,: ,5.2 ,7.4 ,6.2 ,7.3 ,7.2 ,5.6 ,7.6 p,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,LT,: ,: u,: u,: u,: u,: u,: u,: u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,LU,: ,4.8 ,5.0 b,4.2 ,5.7 ,5.5 ,5.3 b,4.7 b,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,LV,: ,: u,: u,5.2 u,: u,3.1 u,2.8 u,0.0 u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,ME,: ,: ,: ,: ,: ,: ,: u,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,MK,: ,: u,: u,: u,: u,: u,: u,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,MT,: ,5.7 ,2.3 ,8.7 ,0.0 ,5.0 ,2.1 ,0.8 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,NL,: ,10.3 ,8.7 b,9.4 ,5.5 ,5.5 ,8.9 ,8.3 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,NO,: ,2.7 ,5.5 ,4.0 ,4.9 ,3.2 ,5.9 ,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,PL,: ,: u,: u,: u,: u,: u,: u,: u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,PT,: ,11.1 u,11.4 ,1.3 ,1.4 ,2.8 ,3.9 ,6.0 bu,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,RO,: ,: u,: u,: ,: u,: u,: ,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,RS,: ,24.6 ,24.8 ,23.5 ,18.4 u,12.5 u,26.3 u,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,SE,: ,11.1 ,6.5 ,5.7 ,5.6 ,5.4 ,3.6 ,6.1 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,SI,: ,6.3 ,4.3 ,5.7 ,4.6 ,3.6 ,4.8 ,5.9 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,SK,: ,: u,: u,: u,: u,: u,: u,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,TR,: ,8.5 u,2.7 u,: u,: u,: u,: u,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-59,T,PC_Y_LT65,UK,: ,8.0 ,5.4 ,5.4 bu,4.3 u,: ,: ,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-64,F,PC,AL,: ,: ,: ,: ,: ,: ,: u,: u,: u,: u,: ,: 
A,EU27_2020_FOR,Y18-64,F,PC,AT,: ,9.7 ,5.7 ,5.8 ,4.7 ,7.0 ,9.9 ,11.6 ,6.9 ,6.8 ,7.1 ,14.3 
A,EU27_2020_FOR,Y18-64,F,PC,BE,: ,21.5 ,17.1 ,19.8 ,12.5 ,13.7 b,14.0 ,16.5 ,13.1 ,11.5 ,13.7 ,13.7 
A,EU27_2020_FOR,Y18-64,F,PC,BG,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-64,F,PC,CH,6.4 ,6.3 ,4.1 ,4.6 ,4.8 ,4.3 ,6.4 ,5.9 ,4.3 ,4.7 ,2.7 ,: 
A,EU27_2020_FOR,Y18-64,F,PC,CY,: ,12.2 ,8.9 ,7.1 ,4.2 ,5.6 ,2.7 ,4.7 ,3.1 ,2.5 ,1.7 ,3.3 
A,EU27_2020_FOR,Y18-64,F,PC,CZ,: ,9.0 u,14.2 u,2.1 u,1.4 ,1.4 ,3.5 ,9.3 ,8.7 ,9.6 ,12.6 ,10.0 
A,EU27_2020_FOR,Y18-64,F,PC,DE,: ,6.8 ,9.6 ,8.8 ,10.9 ,7.0 ,5.0 b,9.0 ,7.8 ,6.9 ,7.4 ,9.0 
A,EU27_2020_FOR,Y18-64,F,PC,DK,: ,15.4 ,16.2 ,12.9 ,9.5 ,14.0 ,10.0 ,4.9 ,7.0 ,12.2 ,8.7 ,8.2 
A,EU27_2020_FOR,Y18-64,F,PC,EA,: ,: ,: ,: ,: ,: ,: ,11.3 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-64,F,PC,EA19,: ,9.7 ,11.0 ,9.8 ,9.9 ,8.6 ,7.8 ,11.3 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-64,F,PC,EA20,: ,9.7 ,11.0 ,9.8 ,9.9 ,8.5 ,7.8 ,11.5 ,9.7 ,7.4 ,7.9 ,9.4 
A,EU27_2020_FOR,Y18-64,F,PC,EA21,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,9.4 
A,EU27_2020_FOR,Y18-64,F,PC,EE,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-64,F,PC,EL,: ,25.0 ,23.5 ,23.1 ,15.2 ,18.8 ,19.9 ,20.1 ,16.5 ,13.8 ,9.7 ,4.5 
A,EU27_2020_FOR,Y18-64,F,PC,ES,: ,12.0 ,16.5 ,12.2 ,11.8 ,12.3 ,11.9 ,12.7 ,12.0 ,7.1 ,8.0 ,9.4 
A,EU27_2020_FOR,Y18-64,F,PC,EU27_2020,: ,: ,: ,: ,: ,8.5 u,7.7 u,11.2 u,9.5 u,7.4 u,7.9 u,9.4 u
A,EU27_2020_FOR,Y18-64,F,PC,FI,: ,16.0 ,17.5 ,7.4 ,5.6 ,10.7 b,11.9 ,18.9 ,14.4 b,9.2 ,10.7 ,18.2 
A,EU27_2020_FOR,Y18-64,F,PC,FR,: ,12.1 ,11.5 ,11.0 ,7.1 ,9.0 ,5.4 b,16.9 ,13.7 b,10.2 ,5.7 ,6.7 
A,EU27_2020_FOR,Y18-64,F,PC,HR,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-64,F,PC,HU,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-64,F,PC,IE,: ,14.4 ,13.4 ,8.0 ,14.0 ,9.4 b,4.8 b,17.1 ,7.3 ,4.0 ,6.2 ,7.0 
A,EU27_2020_FOR,Y18-64,F,PC,IS,: ,3.8 ,3.9 ,5.5 ,2.6 ,0.0 ,2.1 ,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-64,F,PC,IT,: ,6.3 ,9.0 ,7.2 ,8.4 ,8.4 ,8.6 ,9.9 ,11.9 ,5.9 ,9.6 ,11.0 
A,EU27_2020_FOR,Y18-64,F,PC,LT,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-64,F,PC,LU,: ,5.5 ,5.1 b,5.1 ,6.9 ,6.2 ,5.8 b,5.6 b,3.0 b,3.8 ,2.9 ,5.4 b
A,EU27_2020_FOR,Y18-64,F,PC,LV,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-64,F,PC,ME,: ,: ,: ,: ,: ,: ,: u,: u,: u,: u,: ,: 
A,EU27_2020_FOR,Y18-64,F,PC,MK,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: 
A,EU27_2020_FOR,Y18-64,F,PC,MT,: ,7.6 u,0.0 u,7.2 u,0.0 u,3.7 u,0.0 u,1.1 u,0.4 u,7.8 b,0.5 ,2.1 
A,EU27_2020_FOR,Y18-64,F,PC,NL,: ,15.1 ,12.2 b,12.4 ,6.5 ,7.8 ,8.5 ,7.1 ,4.7 ,8.1 ,10.0 ,5.0 
A,EU27_2020_FOR,Y18-64,F,PC,NO,: ,1.3 ,5.1 ,3.4 ,3.3 ,2.0 ,9.6 ,11.8 b,5.5 ,1.7 ,1.1 ,4.7 
A,EU27_2020_FOR,Y18-64,F,PC,PL,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-64,F,PC,PT,: ,12.3 u,13.2 u,2.4 u,1.6 u,6.5 ,7.9 u,9.2 bu,5.3 ,3.6 ,6.3 ,6.3 
A,EU27_2020_FOR,Y18-64,F,PC,RO,: ,: u,: u,: ,: u,: u,: ,: ,: ,: u,: u,: u
A,EU27_2020_FOR,Y18-64,F,PC,RS,: ,22.5 u,16.1 ,19.2 u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-64,F,PC,SE,: ,10.6 ,7.3 ,5.3 ,1.3 ,8.8 ,3.6 ,5.7 ,4.4 ,4.3 ,3.7 ,12.0 
A,EU27_2020_FOR,Y18-64,F,PC,SI,: ,11.5 u,9.7 u,12.9 u,9.9 u,6.1 u,9.3 ,7.2 u,4.4 u,10.1 u,19.6 u,6.3 u
A,EU27_2020_FOR,Y18-64,F,PC,SK,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-64,F,PC,TR,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
A,EU27_2020_FOR,Y18-64,F,PC,UK,: ,9.8 ,5.7 ,5.3 bu,4.1 u,: ,: ,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-64,F,PC_Y_LT65,AL,: ,: ,: ,: ,: ,: ,: u,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-64,F,PC_Y_LT65,AT,: ,9.7 ,5.7 ,5.8 ,4.7 ,7.0 ,9.9 ,11.6 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-64,F,PC_Y_LT65,BE,: ,21.5 ,17.1 ,19.8 ,12.5 ,13.9 b,14.0 ,15.9 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-64,F,PC_Y_LT65,BG,: ,: u,: u,: u,: u,: u,: u,: u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-64,F,PC_Y_LT65,CH,: ,6.3 ,4.1 ,4.6 ,4.8 ,4.3 ,6.4 ,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-64,F,PC_Y_LT65,CY,: ,12.2 ,8.9 ,7.1 ,4.2 ,6.8 ,2.7 ,4.9 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-64,F,PC_Y_LT65,CZ,: ,9.0 u,14.2 u,2.1 u,1.4 ,1.4 ,3.5 ,9.3 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-64,F,PC_Y_LT65,DE,: ,6.8 ,9.6 ,8.8 ,10.9 ,7.0 ,5.0 b,8.6 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-64,F,PC_Y_LT65,DK,: ,15.4 ,16.2 ,12.9 ,9.5 ,14.0 ,10.0 ,4.9 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-64,F,PC_Y_LT65,EA,: ,: ,: ,: ,: ,8.6 e,7.8 ,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-64,F,PC_Y_LT65,EA18,: ,: ,: ,: ,: ,8.6 e,7.8 ,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-64,F,PC_Y_LT65,EA19,: ,9.7 e,11.0 e,9.8 e,9.9 e,8.6 e,7.8 ,11.3 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-64,F,PC_Y_LT65,EE,: ,: u,: u,: u,: u,: u,: u,: u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-64,F,PC_Y_LT65,EL,: ,25.0 ,23.5 ,23.1 ,15.2 ,18.8 ,19.9 ,20.1 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-64,F,PC_Y_LT65,ES,: ,12.0 ,16.5 ,12.2 ,11.8 ,12.3 ,11.9 ,12.7 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-64,F,PC_Y_LT65,EU,: ,: ,: ,: ,: ,7.8 e,: ,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-64,F,PC_Y_LT65,EU27_2007,: ,: ,: ,: ,: ,7.8 e,: ,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-64,F,PC_Y_LT65,EU27_2020,: ,9.7 u,11.0 u,9.6 u,9.7 u,8.6 u,7.7 u,11.0 u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-64,F,PC_Y_LT65,EU28,: ,: ,: ,: ,: ,7.8 e,: ,: ,: ,: ,: ,: 
