freq,citizen,age,sex,unit,geo,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 ,2024 ,2025 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,AT,: ,12.9 u,6.7 u,9.3 u,4.1 ,11.2 ,21.1 u,19.9 u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,BE,: ,10.5 ,10.4 ,11.9 ,8.3 ,13.5 b,16.0 ,15.1 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,BG,: ,: u,: u,: u,: u,: u,: u,: u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,CH,: ,0.5 ,2.2 ,2.2 ,0.8 ,1.5 ,1.9 ,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,CY,: ,17.2 ,6.9 ,10.9 ,6.9 u,18.1 u,0.0 u,0.0 u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,CZ,: ,: u,: u,: u,: u,: u,: u,: u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,DE,: ,15.8 u,16.2 u,: u,24.6 u,: u,0.9 b,10.9 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,DK,: ,: u,: u,21.9 u,: u,: u,14.4 u,8.1 u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,EA,: ,: ,: ,: ,: ,: u,: u,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,EA18,: ,: ,: ,: ,: ,: u,: u,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,EA19,: ,: u,: u,: u,: u,: u,: u,: u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,EE,: ,: u,: u,: u,: u,: u,: u,: u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,EL,: ,: u,: u,: u,18.7 u,22.1 u,: u,: u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,ES,: ,16.3 u,26.5 u,9.0 u,11.1 u,8.3 u,4.3 u,6.8 ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,EU,: ,: ,: ,: ,: ,: u,: ,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,EU27_2007,: ,: ,: ,: ,: ,: u,: ,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,EU27_2020,: ,: u,: u,: u,: u,: u,: u,: u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,EU28,: ,: ,: ,: ,: ,: u,: ,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,FI,: ,: u,: u,: u,: u,: u,: u,: u,: ,: ,: ,: 
